member_name,sitting_date,parliamentary_period,parliamentary_session,political_party,government,roles,member_gender,speech
αβδελας κωνσταντινου αποστολος,19/05/2020,period 18 review 9,session 1,ελληνικη λυση - κυριακος βελοπουλος,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['ζ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Παρακαλώ ολοκληρώστε
λιακουλη θεοφανη ευαγγελια,19/05/2020,period 18 review 9,session 1,κινημα αλλαγης,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],female, Ναι κύριε ΠρόεδρεΚλείνουμε μάτια καταγγελίες εισαγγελέων αφαιρούνται φάκελοι δικογραφίας κλείνουμε μάτια μπορούμε κύριε Πρόεδρε κυρίες κύριοι συνάδελφοι ακούσουμε ήχο λόγια εισαγγελέως έλεγε φοβόταν πραγματικά κάνει Χριστούγεννα οικογένειά Εμείς σταθούμε ύψος περιστάσεων Θα ξεχάσουμε άποψή κ Παπαγγελόπουλο προσωπικά ποιος χαρακτήρας ιδιοσυγκρασία θεωρούμε ικανός ή ανίκανος κάνει θεωρούμε φτάσει άνθρωπος έφτασε εισαγγελέας Υπουργός ούτω καθεξής Θα δεχτούμε τεκμήριο αθωότητας σεβασμό πρόσωπο κατηγορουμένου απαιτεί δικαιικό σύστημα Όμως κυρίες κύριοι συνάδελφοι άκουσα συζήτηση γίνεται ολοκληρώσω κύριε Πρόεδρε σχετικά δικαίωμα κατηγορουμένου δικαίωμα δίκαιης δίκης Να μπερδεύουμε πράγματα Εδώ μιλάμε τελείως διαφορετικό Μιλάμε πράγματα προκύψει γεγονότα έγγραφα παράνομες πράξεις ενδέχεται τελεστεί Υπάρχουν σαφείς ενδείξεις υπόνοιες ανοίγει πράγμα διερευνήσουμε Ή Έχουμε κυρίες κύριοι συνάδελφοι –αναρωτιέμαι δεχτούμε διεύρυνση υπόθεσης περαιτέρω διερεύνηση εκφάνσεων ήσυχοιΚυρίες κύριοι συνάδελφοι σήμερα Βουλή καλείται σκεφτεί Ολομέλεια Κοινοβουλίου σκεφτεί ευθύνη δημοκρατία δικαιοσύνη Δεν μείνει ξέρετε Θα προασπίσουμε πατρίδα κυριαρχικά δικαιώματα προασπίσουμε ιδεολογικό οικοδόμημα ίδιας δημοκρατίαςΟ αείμνηστος Στέφανος Ματθίας καταπληκτικός λειτουργός πει «Η διείσδυση κόμματος πόσω μίας κυβέρνησης δικαιοσύνη σημαίνει απλώς διακριτικές υποδείξεις κορυφή αμφισβητήσεις αδιάβλητου επιλογών περίπτωση» είπε «είναι καταδικαστέες Σημαίνει επεμβάσεις σκοτεινών κομματικών παραγόντων παράλυση εγγυήσεων νομιμότητας διάβρωση εγγυητικής κυρωτικής λειτουργίας δικαιοσύνης σημαίνει γενική διάβρωση θεσμών αξιών ίδιας ζωής»Αυτά καλούμαστε προασπίσουμε διότι προείπα πολιτική μίμησις πράξεως σπουδαίας τελείας κοινωνία 
αβδελας κωνσταντινου αποστολος,19/05/2020,period 18 review 9,session 1,ελληνικη λυση - κυριακος βελοπουλος,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['ζ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Ευχαριστούμε ζημιά μού κάνατε ακολουθεί κ Μαρκόπουλος σταματήσεις δέκα λεπτά είκοσι δευτερόλεπτα
μαρκοπουλος κωνσταντινου δημητριος,19/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Εγώ είπα είκοσι δευτερόλεπτα λιγότερα Πολάκη
αβδελας κωνσταντινου αποστολος,19/05/2020,period 18 review 9,session 1,ελληνικη λυση - κυριακος βελοπουλος,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['ζ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Εγώ παρακαλέσω κ Πολάκη ήρεμος φρόνιμος μιλάει κ Μαρκόπουλος
πολακης πετρου παυλος,19/05/2020,period 18 review 9,session 1,συνασπισμος ριζοσπαστικης αριστερας,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Κύριε Πρόεδρε…
αβδελας κωνσταντινου αποστολος,19/05/2020,period 18 review 9,session 1,ελληνικη λυση - κυριακος βελοπουλος,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['ζ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Το ξέρω ξέρω Για θρανίο είστε
πολακης πετρου παυλος,19/05/2020,period 18 review 9,session 1,συνασπισμος ριζοσπαστικης αριστερας,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Στο θρανίο ψηλός
αβδελας κωνσταντινου αποστολος,19/05/2020,period 18 review 9,session 1,ελληνικη λυση - κυριακος βελοπουλος,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['ζ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Τον κ Δημήτριος Μαρκόπουλος Νέα Δημοκρατία
μαρκοπουλος κωνσταντινου δημητριος,19/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Ευχαριστώ κύριε ΠρόεδρεΞέρετε παλιά άρεσαν ελληνικές ταινίες Κούρκουλο Θα θυμόσαστε δεκαετία ’70 περίφημη ταινία «Η δίκη δικαστών» Κούρκουλος θαρραλέος δικαστής βάλει συστήματα απέναντί αποδώσει δικαιοσύνηΕγώ ένιωσα σήμερα βλέποντας κ Παπαγγελόπουλο άνθρωπο συστήματα απέναντί Τσατάνη Αθανασίου Ράικου Όλοι Και δίκιο κ Παπαγγελόπουλος Νίκος Κούρκουλος όλωνΠαρά κενά θέλω διευκρινίσουμε βγουν φως Πολύ ωραία κ Παπαγγελόπουλος είπε ραντεβού ένιωσε δυσφορία λέει Νίκος Παππάς «Νετανιάχου» Τσιμπάει Αριστερά ξέρετε Αριστερά αντισυστημική Του λέει «Νετανιάχου» Παππάς κομπλάρει Παπαγγελόπουλος ποιεί ανάγκη φιλοτιμία κάνουμε Να μιλήσουμε υπόθεση Σάμπυ Μιωνή επιχειρηματία Του λέει «Νετανιάχου» υποχωρεί Άρα κ Παππάς λέει πραγματάκια ξεκαθαρίσει Δεν πω δίνει κ Παππά κ Παππάς αυτουργός επαφής Μέγαρο Μαξίμου επιχειρηματία κ Φιλιππάκη εκδότη τρόπο κ Παππάς νομίζω σήμερα είπε κ Παπαγγελόπουλος επανατοποθετηθεί Τον περιμένουμε ενδιαφέρονΔεν είπε στεναχώρησε κ Παπαγγελόπουλος δεύτερο ραντεβού Υπήρξε δεύτερο ραντεβού Εγώ επιστολή κ Ιωάννη Φιλιππάκη απέστειλε 5 Μαρτίου 2020 Πρόεδρο Ειδικής Κοινοβουλευτικής Επιτροπής κ Μπούγα λέει «Σημείο 20 15 Μαΐου 2018 ώρα 1300΄ μεσημβρινή συνάντηση γραφείο Υπουργού Ψηφιακής Πολιτικής κ Νίκου Παππά δεύτερη συνάντηση παρουσία Αναπληρωτή Υπουργού Δικαιοσύνης κ Παπαγγελόπουλου» Μάλλον πείστηκε κ Παππά παρέμβαση «Νετανιάχου» σκληρή ήθελε σηκωθεί φύγει στεναχωρημένος κ Παπαγγελόπουλος άκουγε κ Παππά καρδιά πέτρα πηγαίνει δεύτερη συνάντηση βλέπουμε γίνεται δεύτερη συνάντηση Παραβρέθηκε κ Μιωνή κ Φιλιππάκης τρίτο πρόσωπο λειτούργησε εγγυητής συμβιβασμού θέμα τήρηση εκατέρωθεν δεσμεύσεων συμβιβασμού ενδιαφέροντος δήλωσή κ Παππά Ισραηλινών αξιωματούχων Αυτό είπε ξέχασε Νομίζω μελλοντική φάση κ Παπαγγελόπουλος θυμηθείΑκούσαμε διάφορα Θα θυμίσω πρώην εισαγγελέας Αρείου Πάγου κ Ξένη Δημητρίου ημερών τόνισε χρειαζόταν προσωπικά μήνες κάνει αξιολόγηση βάθος υπόθεση «NOVARTIS» ρωτήθηκε τυχαία διάστημα ολίγων ωρών κ Παπαγγελόπουλος αξιολόγησε υπόθεση μεγαλύτερο συστάσεως ελληνικού κράτους σκάνδαλο υπόθεση ενέπλεξε πολιτικό σύστημα πολιτικούς αντιπάλους ΣΥΡΙΖΑ πούμε σημαντικά πρόσωπα Να δούμε ποια πρόσωπα μπλεχτεί Ένας σκληρότεροι επικριτές ΣΥΡΙΖΑ χώρο κεντροαριστεράς χώρο κεντροδεξιάςΞέρετε κ Δημητρίου Να ενημερώσω μαθαίνει κόσμος πράγματα μπορούσε δει ανοιχτή διαδικασία Ξέρετε απάντησε κ Δημητρίου Ανασήκωσε ώμους μειδίασε είπε «Τι πω εγώ» Τι πει Και έλεγε «Εγώ γινόμουν πολιτικός γίνονται πράγματα» Αυτή αντίδραση κ Δημητρίου Δεν σταθώ κουτσομπολιά κ Τσατάνη είδαμε ποιότητα λέμε δικαστικό σύστημα κρίνουν Αυτά μελλοντική χρήση Θα δούμε ή κ Λοβέρδος γράψουμε βιβλίο δούμε στιγμή Γιατί ξέρετε κριτές κρίνουν κριτές Γιατί είδαμε πράγματα γι’ κρίνουν Δεν σταθώ κουτσομπολιά ποιος υποψήφιος Νέα Δημοκρατία Αυτά καλό αφήσουμε παραπέραΌμως θέλω ρωτήσω Ένας άνθρωπος δικαιοσύνης εξέχουσα μορφή χώρο κ Παπαγγελόπουλος τυχαίος πήγαινε νέο ρόλο Αναπληρωτής Υπουργός αρμόδιος διαφθορά ηθικό άνθρωπος πηγαίνει κλειστές συναντήσεις Μέγαρο Μαξίμου μιλάει ιδιωτικές υποθέσεις road maps –μάθαμε road maps οδικούς χάρτες Τι περιγράφουν Αναφέρομαι έγγραφα παρουσιαστεί Ότι ερευνούσα εισαγγελική αρχή εισηγείται έρευνα προκύψουν στοιχεία κλείσει προκαταρκτική έρευνα εμπλεκόμενα πρόσωπα Ακούμε υπάρξουν σχετικές εισηγήσεις λέει «Παιδιά κοιτάξτε δείτε συμφωνούμε δύο ιδιώτες αφορά δικαιοσύνη γίνουν δύο τέσσερα πέντε πράγματα» Ένας άνθρωπος χώρο δικαιοσύνης συμμετέχει αυτάΚαι κ Παπαγγελόπουλος Υπουργός Φιλιππάκη Ντάρκα Παπαδάκου ή Υπουργός αρμόδιος διαφθορά Είναι ερώτημα Όπως ερώτημα κ Τσίπρας γνώριζε συνάντηση Μέγαρο Μαξίμου Τι γνώριζε Δεν γνώριζε Ήταν πρωθυπουργός έδρα πρωθυπουργού Ο κ Παππάς θυμάμαι δημοσιεύματα εποχής ικανότατος πολιτικά Τον ενημέρωσε Τι Ήταν ερήμην Στεναχωρήθηκε έμαθε κ Τσίπρας συνάντηση Ήταν πλαίσιο διακρατικών συμφωνιών λένε Δεν ξέρω ακούσουμε αργότερα γνωρίζω διαδικασία κ Τσίπρας έρθει Νομίζω σημαντικό απαντήσει σκιές Όλα φως
πλευρης κωνσταντινου αθανασιος,19/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Και κ Παππάς μπορούσε έρθει
μαρκοπουλος κωνσταντινου δημητριος,19/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Και κ Παππάς Θα μπορούσε δοθεί λόγος κ Παππά διαφωτίσει Δηλαδή είπε «Νετανιάχου» πάγωσε μπροστά μέγεθος κ Παπαγγελόπουλος Δηλαδή φαίνεται κ Παππάς dealer «ντίλαρε» Αγαπητοί συνάδελφοι δύσκολο χωρέσουν οκτώ μήνες διαρκούς επίμονης καταιγιστικής εξαντλητικής ανακριτικής διαδικασίας δεκάδες μάρτυρες τεράστιος όγκος καταθέσεων χιλιάδες σελίδες υλικού λίγα λεπτά μείνει Πώς χωρέσει χρόνο ψυχολογικό Γιατί ψυχολογικό Είμαστε ομάδα σήκωσε φορτίο ώμους κ Παπαγγελόπουλος ώμους σηκώνει φορτίο πολιτικό φορτίο ταυτόχρονα προκαταρκτικής εξέτασης Πώς προλάβει περιγράψει σοκ ή ειλικρινής απανωτά σοκ Έχουμε σοκαριστεί ακούμε οκτώ μήνες ρόλο πρώην Αναπληρωτή Υπουργού Δικαιοσύνης Δημήτρη Παπαγγελόπουλου άσκηση καθηκόντων τουΘα πω αρέσει κ Πολάκη Ελπίζω συγχωρέσετε θίγω άγια κομμουνιστικά πω Ο Λένιν κύριε Πολάκη έλεγε αλήθεια πράξη επαναστατική Στο όνομα Λένιν Αριστερά ομνύει Όμως δική Πλειοψηφία επανάσταση Έκανε επανάσταση ρίξει φως Αυτή επανάσταση κάναμε κάνατε Εμείς φέραμε «NOVARTIS» Βουλή Εμείς δείξαμε θάρρος επιδιώξαμε ρίξουμε άπλετο φως Πότε φέρατε Φρουζή Πότε φέρατε Δεσταμπασίδη Πότε φέρατε εισαγγελείς κρυβόσασταν γνωρίζατε δικαστικούς λειτουργούς μιλήσουν Και ακούσαμε Ακούσαμε Ξέρετε ακούσαμε Καθημερινή διαδικασία Ακούσαμε λέξεις «παρακράτος» «σκοτεινό πρόσωπο» «παρασκήνιο» Αυτά ημερήσια διάταξηΘυμάμαι αρχές –και ενδιαφέρον ακουστεί αγχώσουν «Μα ακούσει λέξη Παπαγγελόπουλος Δεν ακουστεί όνομα Παπαγγελόπουλος» Και ακούσαμε επικαλούμαι συναδέλφους ΣΥΡΙΖΑ κ Λάππα κ Ραγκούση κ Ξανθόπουλο κ Αυγέρη κ Γκιόλα σέβομαι εκτιμώ άκουσαν ξανάκουσανΔεν θυμίσω είπε Γεωργία Τσατάνη Τα είπαν καλοί συνάδελφοι έπρεπε συμμορφωθεί ακούσαμε διάφορα κάνει Χριστούγεννα γυναίκαΞέρετε είπε περιπτεράς γειτονιάς Δεν μάχη μπουγάδα γειτονιά Δεν Η πρώην εισαγγελέας κατήγγειλε σοβαρή περίπτωση Παπαγγελόπουλος φώναξαν Για Παπαγγελόπουλο μίλησε Ελένη Ράϊκου Γιάννης Αγγελής Ξένη Δημητρίου Μας αποκάλυψε περίφημο «Ρασπούτιν» ακουστεί γραφείο Μας μπέρδεψε κ Τζανακόπουλο Νομίζω κ Τζανακόπουλος παρέμβασή ξεκαθαρίσει είπε κ Τζανακόπουλος κατάθεσή είπε κ Δημητρίου Κύριε Τζανακόπουλε χαρά ακούσουμε σήμερα Επίσης είπε κ Παναγιώτης Αθανασίου Εξέχοντες λειτουργοί δικαιοσύνης Άπαντες Ξέρετε σηκώθηκαν φώναξαν Παπαγγελόπουλος Γι’ απορία ακούστηκε όνομα Βαρεθήκαμε ακούμε Να πάμε παρακάτω Ακούσαμε όνομα Παπαγγελόπουλος επιχειρηματία Σάμπυ Μιωνή Έκανα αναφορά Σας ρωτώ ευθέως βρεθήκατε ανακριτικών αιθουσών Κύριε Ραγκούση βλέπω περιφέρεια Είναι ή διερεύνηση καταγγελία απόπειρα εκβίασης βάρος Σάμπυ Μιωνή Σταύρο Παπασταύρου Θα σιωπήσουμε ιλιγγιώδη ποσά ακούστηκαν διαδικασίας Ακούσαμε ζητούνται χρήματα Να θυμίσουμε παλιά καλή ταινία «Show me the money» Να δούμε λεφτά Θέλετε κύριε Ραγκούση θέλετε κύριε Ξανθόπουλε θέλετε Αυγέρη ακουστούν ή αλήθειες Να μάθουμε βρε παιδί Να δούμε λεφτά Είναι δόκιμο ηθικό συζητιούνται ποσά Μέγαρο Μαξίμου Ακούσαμε χρήματα λεφτά μιλάει λεφτά κ Παπαγγελόπουλος Είναι ρόλος Υπουργού αρμόδιου διαφθορά μιλάει λεφτά επιχειρηματιών κατεύθυνσης Είναι ρόλος Τι Αυτή Αριστερά τάξει προεκλογικά 2015 Νταραβέρια συζητήσεις όφελος επιχειρηματιών ή ενδεχομένως σεβαστούμε τεκμήριο αθωότητας κ Παπαγγελόπουλου λήξει ιδιωτική υπόθεση Τι Υπουργοί επιχειρηματία Εσείς Αριστεράς Που φέρνατε νέο Εμείς παλιό κατατροπώσετε Εσείς νέο Ξέρετε ξανακούσει Είναι ενδιαφέρονταΑκούστηκαν διάφορα Ακούσαμε δικαστική συνδρομή Υπουργείο Δικαιοσύνης Κύπρου αθώωνε κυρίους Μιωνή Παπασταύρου Γιατί θάφτηκε Μήπως υπάρξει τύπου πολιτική ομηρία κ Παπασταύρου συνεργάτης τέως Πρωθυπουργού Αντώνη Σαμαρά Μήπως βρεθεί κ Μιωνή θέση ντιλάρει Καταθέτω ερωτήματαΘα κάνουμε είδαμε ιδιωτικά συμφωνητικά χρημάτων περιγράφουν σαφώς σειρά δικαστικών βημάτων Ιδιωτικά συμφωνητικά υπόθεση –ο κ Παπαγγελόπουλος άφησε δούμε δούμε μήνες πάει αρμοδιότητα μαθαίνουμε φιλικών εισαγγελικών λειτουργών κ Παπαγγελόπουλο Αυτά δούμε
αβδελας κωνσταντινου αποστολος,19/05/2020,period 18 review 9,session 1,ελληνικη λυση - κυριακος βελοπουλος,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['ζ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Ολοκληρώστε παρακαλώ
μαρκοπουλος κωνσταντινου δημητριος,19/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Θα δώσετε χρόνο
αβδελας κωνσταντινου αποστολος,19/05/2020,period 18 review 9,session 1,ελληνικη λυση - κυριακος βελοπουλος,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['ζ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Λίγο χρόνο Πήρατε τέσσερα λεπτά
μαρκοπουλος κωνσταντινου δημητριος,19/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Ο Νίκος Παππάς αναφέρεται τοποθετηθεί σημερινά Ο κ Παπαγγελόπουλος είπε πράγματα κ Παππά Έχει αλλάξει ροή πραγμάτων σήμερα Ζήτησε διαλεύκανση υπόθεσης Είπε χαρακτηριστικά υπάρχουν εδάφη προκαλούν προβληματισμό Τον περιμένουμε θέλουμε διαφωτίσει Είναι δυνατόν αγνοήσουμε καταγγελίες ανοιχτές υποθέσεις κ Μιωνή συνεργατών συζητήθηκαν πρωτοβουλία κ Παπαγγελόπουλου εγγυητή κ Παππά Υπουργό Μεγάρου Μαξίμου Θα αφήσουν αδιάφορους καταγγελίες Μιωνή Ντάρκα Φιλιππάκη αναλήφθηκαν πρωτοβουλίες δεσμεύσεις εξαρτούνται βάσει σχετικών εγγράφων συμβαλλόμενα ιδιωτικά μέρη ανεξάρτητη δικαιοσύνη Θα αγνοήσουμε Δεν επεκταθώ περαιτέρω Θα σεβαστώ χρόνο επιτρέπει διαδικασία σεβαστούμεΩς εκπρόσωποι Πλειοψηφίας μέτρο σύνεση σεβαστήκαμε διαδικασία Σεβόμαστε τεκμήριο αθωότητας πρώην Αναπληρωτή Υπουργού κ Δημήτρη Παπαγγελόπουλου Εμείς βιαστήκαμε προχωρήσουμε διεύρυνση κατηγορητηρίου Η σημερινή διαδικασία αβασάνιστη ή βιαστική Δεν κοπιάραμε μοντέλα τσάτραπάτρα άρονάρον Ρίξε μπλέντερ δέκα υπουργούς δυο πρωθυπουργούς Πώς έλεγε φίλος Παύλος Πολάκης Είναι Ναι «Να βάλουμε ρε παιδί ένανδυο πολιτικούς φυλακή κερδίσουμε εκλογές» Τα είπατε κύριε Πολάκη Θα Βήμα Θα ακούσω μεγάλο ενδιαφέρον εξηγήσετε Η σημερινή πρόταση αποτέλεσμα ακούσαμε είδαμε Είναι αποτέλεσμα τεκμηρίων Εμείς βρισκόμαστε μπροστά μήνες βασανιστικής εργασίας βιαστικής κρίσης Οκτώ μήνες ερευνήσαμε πήγαμε αποφασίσαμε βόλευε  Ολοκληρώνω κύριοι συνάδελφοι Ξέρετε Ξέρετε ποια μεγάλη διαφορά Εμείς παίζουμε τιμή αξιοπρέπεια ανθρώπων Για φτάσουμε σημείο αίτησης διεύρυνσης κατηγορητηρίου εξετάσαμε διαβάσαμε εξαντλητικά συζητήσαμε είδαμε έγγραφα Κινηθήκαμε φως παρασκήνιοΚυρίες κύριοι συνάδελφοι ξέρουμε ομίχλη Εμείς φτιάχνουμε φως Αυτό είπε Ρίτσος Να θυμίσουμε Ρίτσο ξεχάσατε τεσσεράμισι χρόνια εξουσίαΣας ευχαριστώ 
αβδελας κωνσταντινου αποστολος,19/05/2020,period 18 review 9,session 1,ελληνικη λυση - κυριακος βελοπουλος,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['ζ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Τον κ Ιωάννης Ραγκούσης ΣΥΡΙΖΑ
ραγκουσης νικολαου ιωαννης,19/05/2020,period 18 review 9,session 1,συνασπισμος ριζοσπαστικης αριστερας,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Σας ευχαριστώ κι σειρά κύριε Πρόεδρε Πριν ξεκινήσω αγαπητές κι αγαπητοί συνάδελφοι παραλείψω θέματος εύκολο παραλείψει σχολιάσω εικόνα Τι θέλει πει ποιητής Είναι εικόνα ουσιαστικά θέλει πει Πρωθυπουργό Κυβέρνηση ασχολείται ποινικές υποθέσεις διερεύνησης σκανδάλων ενδεχόμενων ευθυνών πρώην Υπουργών Ποιος πει Ο κ Μητσοτάκης Κυβέρνησή κορυφαίο ατόπημα διαπράξει περίοδο έβγαζε Κυβερνητικό Επρόσωπο διάρκεια λειτουργίας προανακριτικής επιτροπής επίσημες κυβερνητικές δηλώσεις εκ μέρους κ Μητσοτάκη πορεία προανακριτικής επιτροπής απόρρητες καταθέσεις προανακριτική λάμβανε μάρτυρες ήρθαν Δεν υπάρχει καμμία αμφιβολία Μερικές επισημάνσεις θέλω κάνω εκμεταλλευόμενος πλεονέκτημα δυνατότητα μιλάω κι κ Παπαγγελόπουλο Δεν υπάρχει αγαπητές κι αγαπητοί συνάδελφοι καμμία αμφιβολία κι μικρό παιδί καταλαβαίνει σημερινή πρόταση επίσημη ομολογία συντριβής διότι τεκμηριωθεί ύπαρξη σκευωρίας υπόθεση «NOVARTIS» τεκμηριωθεί ύπαρξη αρχισκευωρού «Ρασπούτιν» Οπότε καμμία ανάγκη διεύρυνση κατηγορητηρίου περαιτέρω εξετάσεις μαρτύρων καθυστερήσεις Για παίζετε γνωστά επικοινωνιακά παιχνίδια χαμηλού επιπέδου γνώμη κόψτε ερώτηση Ερευνήστε θέλετε θέλετε Για Παπαγγελόπουλο μάνα πατέρα νομίζετε διερευνηθούν μπας τέλος προκύψειΓια απολύτως ειλικρινής μήνες όντως αναπτυχθεί οικειότητα μελών προανακριτικής επιτροπής Ειλικρινά πω πολιτική δύναμη συνάδελφοι Νέας Δημοκρατίας έπρεπε ντρέπεστε ομιλία Παπαγγελόπουλος απ’ Βήμα Δεν αναφέρομαι ατομικά ξεχωριστά Αναφέρομαι πολιτική δύναμη Νέα Δημοκρατία Μη φύγετε κύριε Πλεύρη απευθυνθώ Βεβαίως ντρέπονται κι κάνει δημόσια καριέρα όνομα υπεράσπισης αρχών κράτους δικαίου καθηγητές πανεπιστημίου διανοούμενοι δημοσιογράφοι διάστημα βγάλει άχνα πιει αμίλητο νερό φοβερά τρομερά ανοσιουργήματα συντελεστεί σ’ υπόθεση Ανέφεραν προηγούμενοι συνάδελφοι απέφυγε κ Παπαγγελόπουλος γνώμη φάση μείνει θέματα τυπικής ακυρότητας προφανώς προκύπτει χρήση απορρήτου υλικού Εγώ μείνω πάω ανήθικο υπόθεσης Ξέρετε αγαπητές αγαπητοί συνάδελφοι ΦΦ εδράζεται ανήθικο κάνατε Όχι χρήση απόρρητων πρακτικών προανακριτικής αποσπασματική χρήση στοιχείων προέκυψαν προανακριτική Ένα παράδειγμα δώσω Είπε κ Πλεύρης αρχική ομιλία αφήνοντας όρθιο σχετικό νομιμότητα τυπικότητα διαδικασιών πρώην Εισαγγελέας Αρείου Πάγου κ Ξένη Δημητρίου κατέθεσε προανακριτική επιτροπή πει κ Αγγελής «Ρασπούτιν» Παπαγγελόπουλος Το είπε κ Πλεύρης λέω Ρωτώ ευθέως προκαλώ κ Πλεύρη ενώπιον Ολομέλειας ελληνικού Κοινοβουλίου ελληνικού λαού Η κ Ξένη Δημητρίου έβαλε τελεία κύριε Πλεύρη Εσείς αποκαλύψατε σημείο κατάθεσής ηθική πολιτική υποχρέωση πω νομική υποχρέωση πείτε υπήρχε τελεία ή τελεία κόμμα πρόσθεσε κ Δημητρίου Σας δίνω πείτε είπε κ Δημητρίου
πλευρης κωνσταντινου αθανασιος,19/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Τώρα
ραγκουσης νικολαου ιωαννης,19/05/2020,period 18 review 9,session 1,συνασπισμος ριζοσπαστικης αριστερας,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Τώρα δίνω λόγο
πλευρης κωνσταντινου αθανασιος,19/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Ότι θέλετε
ραγκουσης νικολαου ιωαννης,19/05/2020,period 18 review 9,session 1,συνασπισμος ριζοσπαστικης αριστερας,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Θα διαβάσετε σύνολο φράσης πρώην εισαγγελέως
αβδελας κωνσταντινου αποστολος,19/05/2020,period 18 review 9,session 1,ελληνικη λυση - κυριακος βελοπουλος,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['ζ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Αν θέλει πάρει Συνεχίστε κύριε Ραγκούση
ραγκουσης νικολαου ιωαννης,19/05/2020,period 18 review 9,session 1,συνασπισμος ριζοσπαστικης αριστερας,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Εσείς κύριε Πλεύρη είπατε απλώς είπε προανακριτική «ναι ήλθε Αγγελής είπε «Ρασπούτιν» Παπαγγελόπουλος» Τι είπε Δημητρίου κύριε Πλεύρη Πείτε περιμένω
πλευρης κωνσταντινου αθανασιος,19/05/2020,period 18 review 9,session 1,νεα δημοκρατια,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Αυτό είπα…
ραγκουσης νικολαου ιωαννης,19/05/2020,period 18 review 9,session 1,συνασπισμος ριζοσπαστικης αριστερας,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Περιμένω Δώστε κύριε Πρόεδρε νόημα συζήτηση
αβδελας κωνσταντινου αποστολος,19/05/2020,period 18 review 9,session 1,ελληνικη λυση - κυριακος βελοπουλος,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['ζ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Σας παρακαλώ όχι…
ραγκουσης νικολαου ιωαννης,19/05/2020,period 18 review 9,session 1,συνασπισμος ριζοσπαστικης αριστερας,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['βουλευτης'],male, Να αναγκαστεί πει αλήθειαΚύριε Πρόεδρε παρακαλώ θέλει κ Πλεύρης
αβδελας κωνσταντινου αποστολος,19/05/2020,period 18 review 9,session 1,ελληνικη λυση - κυριακος βελοπουλος,['μητσοτακη κυριακου(08/07/2019-28/07/2020)'],['ζ αντιπροεδρος βουλης(18/07/2019-28/07/2020)'],male, Κύριε Πλεύρη λεπτόΚύριοι συνάδελφοι παρακαλώ 
